no.,Baseline,Bootstrap,TTD,MTD,CVT,yTrue
1,1.02394,1.02213,1.02216,1.0217,1.02206,1.02201
2,1.02471,1.02601,1.02695,1.02654,1.02657,1.02622
3,1.01988,1.01932,1.01866,1.01908,1.01941,1.01955
4,1.0259,1.02928,1.02947,1.02868,1.02937,1.02958
5,1.01943,1.01887,1.01931,1.01892,1.01903,1.01952
6,1.02396,1.02246,1.0227,1.02208,1.02264,1.02277
7,1.01037,1.0178,1.02957,1.02679,1.02575,1.02491
8,1.02358,1.02069,1.02128,1.0213,1.02118,1.02092
9,1.01939,1.01783,1.01728,1.01886,1.01777,1.01767
10,1.01993,1.01753,1.01693,1.01712,1.01723,1.01719
11,1.02391,1.02154,1.02124,1.0216,1.02139,1.02145
12,1.0181,1.01808,1.0174,1.01807,1.01772,1.01765
13,1.01936,1.01898,1.0193,1.01862,1.01914,1.01962
14,1.01973,1.01789,1.0179,1.01848,1.01753,1.0175
15,1.02308,1.02,1.0204,1.02093,1.02066,1.02084
16,1.01921,1.01854,1.01906,1.01911,1.01827,1.01837
17,1.02576,1.02808,1.02787,1.02684,1.02823,1.02826
18,1.01856,1.01876,1.01876,1.01805,1.01873,1.0188
19,1.0264,1.02796,1.02816,1.02844,1.02856,1.02865
20,1.02097,1.02,1.01921,1.0199,1.01941,1.01962
21,1.01853,1.0176,1.01714,1.01884,1.01727,1.01752
22,1.02633,1.0263,1.02646,1.02542,1.02656,1.02675
23,1.01851,1.01865,1.0186,1.01794,1.01848,1.01887
24,1.02586,1.02716,1.02733,1.02763,1.02787,1.02788
25,1.02374,1.02125,1.02142,1.02138,1.02129,1.02142
26,1.0236,1.02389,1.0238,1.02386,1.02363,1.02317
27,1.0183,1.01769,1.01714,1.01865,1.01723,1.01745
28,1.02679,1.02914,1.02932,1.02874,1.02955,1.02954
29,1.0238,1.02277,1.02261,1.02245,1.02282,1.02284
30,1.01955,1.01902,1.01908,1.01913,1.01928,1.01917
31,1.01973,1.01789,1.0179,1.01848,1.01753,1.0175
32,1.02614,1.0293,1.02975,1.02907,1.02946,1.02949
33,1.02017,1.01951,1.01901,1.01978,1.0196,1.01953
34,1.02354,1.02014,1.0207,1.02098,1.02078,1.02064
35,1.01836,1.01909,1.01862,1.01791,1.01849,1.01878
36,1.0186,1.01915,1.01838,1.01758,1.01868,1.01862
37,1.026,1.02701,1.02708,1.02504,1.02721,1.02676
38,1.02131,1.01973,1.02033,1.02026,1.01942,1.02039
39,1.0259,1.02928,1.02947,1.02868,1.02937,1.02958
40,1.02139,1.01982,1.02024,1.02082,1.01977,1.02001
41,1.02548,1.02964,1.02981,1.02909,1.02985,1.02947
42,1.02652,1.02866,1.02907,1.02843,1.02931,1.02911
43,1.02567,1.02635,1.0279,1.02432,1.02686,1.02685
44,1.02376,1.02025,1.02069,1.02105,1.02087,1.0207
45,1.01863,1.01931,1.01929,1.01831,1.01887,1.01884
46,1.02624,1.02821,1.02803,1.02825,1.02896,1.02944
47,1.0202,1.0175,1.01704,1.01726,1.0174,1.01692
48,1.01898,1.01775,1.01741,1.01872,1.01738,1.01762
49,1.02382,1.02303,1.02266,1.02295,1.02295,1.02313
50,1.026,1.02701,1.02708,1.02504,1.02721,1.02676
51,1.02334,1.02013,1.02062,1.0209,1.0207,1.02046
52,1.01925,1.01722,1.0169,1.01767,1.01685,1.01719
53,1.02362,1.02363,1.02313,1.02364,1.02333,1.02316
54,1.01948,1.01919,1.01884,1.01924,1.01922,1.01977
